plot,individual,height_cm,sla,ldmc,species_full,lma,trt,block
1A,1.0,16,0.10926694289793351,383.368569415081,Vaccinium sp,0.009151898767169703,m,1
1A,2.0,12,0.12577525450220253,398.9176652493236,Vaccinium sp,0.007950689537125829,m,1
1A,3.0,11,0.11795804715481699,373.7522019964768,Vaccinium sp,0.008477590330802314,m,1
1A,4.0,11,0.11107303347801147,374.3659113966858,Vaccinium sp,0.009003085345625,m,1
1A,3.0,9,0.12205109318258783,243.49680170575695,Oreochrysum parryi,0.008193289989660353,m,1
1A,2.0,9,0.11483048231695374,207.22591362126244,Oreochrysum parryi,0.008708489068606468,m,1
1A,1.0,10,0.13725468889624046,178.27651916154986,Oreochrysum parryi,0.007285725595545691,m,1
1B,4.0,14,0.10908200804850081,387.9350348027842,Vaccinium sp,0.00916741466251128,m,1
1B,3.0,14,0.12807134085458222,389.908256880734,Vaccinium sp,0.007808148125312779,m,1
1B,2.0,15,0.10050767875295996,346.571622539036,Vaccinium sp,0.009949488560549906,m,1
1B,1.0,11,0.07723530464710615,280.3319129849742,Oreochrysum parryi,0.012947446825892309,m,1
1B,2.0,13,0.10814216980229105,228.25938566552898,Oreochrysum parryi,0.009247086514245384,m,1
1B,3.0,9,0.09946447481261693,236.1339678868479,Oreochrysum parryi,0.010053840850051433,m,1
1B,4.0,10,0.09297352553094565,248.8379814077025,Oreochrysum parryi,0.010755750029799142,m,1
1C,1.0,11,0.12417275722966294,307.5724524774073,Vaccinium sp,0.008053296248793577,bm,1
1C,2.0,10,0.11275822357097694,389.5394223263076,Vaccinium sp,0.008868532762672859,bm,1
1C,3.0,11,0.10704258961722775,367.60211169769383,Vaccinium sp,0.009342075930486056,bm,1
1C,4.0,12,0.11519850639099777,371.8048024786987,Vaccinium sp,0.00868066810350716,bm,1
1C,1.0,1,0.1132252531493443,242.60078023407019,Oreochrysum parryi,0.00883195199114281,bm,1
1C,4.0,15,0.10522912216689038,236.26821102162702,Oreochrysum parryi,0.00950307271796897,bm,1
1C,3.0,10,0.10011977490475818,281.9063523668829,Oreochrysum parryi,0.009988036838389608,bm,1
1C,2.0,11,0.08694095413919821,272.1904027064724,Oreochrysum parryi,0.011502059183741347,bm,1
1D,1.0,10,0.14149214143750585,332.22748815165875,Vaccinium sp,0.00706753032246444,b,1
1D,4.0,11,0.11643813614311413,319.9300699300699,Vaccinium sp,0.0085882515224299,b,1
1D,3.0,12,0.11393236468231674,364.5833333333333,Vaccinium sp,0.008777137232149526,b,1
1D,2.0,12,0.11835026925165487,347.8437754271766,Vaccinium sp,0.008449494929949366,b,1
1D,1.0,11,0.10193242949285869,239.72728947853327,Oreochrysum parryi,0.00981042054010946,b,1
1D,2.0,16,0.10464093670945765,217.8757863739794,Oreochrysum parryi,0.009556489376395442,b,1
1D,3.0,14,0.11545516672115903,230.24404416037189,Oreochrysum parryi,0.008661370715570877,b,1
1D,4.0,13,0.12084466053036774,209.4960433152853,Oreochrysum parryi,0.00827508634317115,b,1
2A,1.0,17,0.12545550859874086,375.12179278986684,Vaccinium sp,0.0079709532978613,bm,2
2A,2.0,12,0.12745038354209115,339.6905361640878,Vaccinium sp,0.007846190589687356,bm,2
2A,3.0,19,0.12815540092929448,388.58024691358025,Vaccinium sp,0.007803026581390175,bm,2
2A,4.0,15,0.13830765452663338,384.1193067311568,Vaccinium sp,0.00723025781488785,bm,2
2A,4.0,9,0.12496049831969343,228.69251294930152,Oreochrysum parryi,0.008002528906708136,bm,2
2A,3.0,7,0.1802153515023392,198.93719260557407,Oreochrysum parryi,0.005548916846781613,bm,2
2A,2.0,10,0.1130956852520313,234.53566182471027,Oreochrysum parryi,0.008842070303314593,bm,2
2A,1.0,10,0.11097369742746256,228.89196086771585,Oreochrysum parryi,0.00901114429077796,bm,2
2B,1.0,13,0.10676409660049296,386.79549114331724,Vaccinium sp,0.009366444636739264,b,2
2B,2.0,10,0.18150042975877617,257.88900979325354,Vaccinium sp,0.00550962882748572,b,2
2B,3.0,10,0.10950843880352652,378.59531772575247,Vaccinium sp,0.009131716340090832,b,2
2B,4.0,13,0.12454128417605832,360.6514315734174,Vaccinium sp,0.008029465944693052,b,2
2B,4.0,13,0.1482054977762166,201.05624015565647,Oreochrysum parryi,0.006747388018695186,b,2
2B,3.0,15,0.20414784813193404,193.59208832893046,Oreochrysum parryi,0.004898410682015776,b,2
2B,2.0,12,0.18158875932866886,192.7764565992866,Oreochrysum parryi,0.0055069487984663055,b,2
2B,1.0,14,0.1424680481615617,232.44786374413314,Oreochrysum parryi,0.007019117710281112,b,2
2C,2.0,11,0.12437360306618526,199.41610574973643,Oreochrysum parryi,0.008040291310591453,m,2
2C,1.0,16,0.11862121701927855,205.828373015873,Oreochrysum parryi,0.008430195079160907,m,2
2C,1.0,19,0.14113601689392652,345.31407457171645,Vaccinium sp,0.007085363623033015,m,2
2C,2.0,11,0.1087976180503084,385.5551563061445,Vaccinium sp,0.009191377696684468,m,2
2C,3.0,13,0.11704404170240927,364.07891365616194,Vaccinium sp,0.008543792451584622,m,2
2C,4.0,17,0.11576267551014256,355.44519333096844,Vaccinium sp,0.008638362888497553,m,2
2C,4.0,9,0.12491148816535849,212.0723847297967,Oreochrysum parryi,0.008005668771443942,m,2
2C,3.0,8,0.14623821644292948,163.6897101971483,Oreochrysum parryi,0.006838157797078011,m,2
2D,4.0,18,0.112322837724495,368.16362827923524,Vaccinium sp,0.008902908974333393,c,2
2D,3.0,14,0.1394678956065451,381.9334389857369,Vaccinium sp,0.007170108903206759,c,2
2D,2.0,20,0.10734454583014573,383.3605220228385,Vaccinium sp,0.009315797018530666,c,2
2D,1.0,12,0.11828232745765621,392.4818108326597,Vaccinium sp,0.008454348350204635,c,2
2D,1.0,15,0.18639024535329393,164.23522334185594,Oreochrysum parryi,0.005365087631622283,c,2
2D,2.0,12,0.13838173112321717,189.0547263681592,Oreochrysum parryi,0.0072263874131592186,c,2
2D,3.0,13,0.171189300851952,192.69649334945586,Oreochrysum parryi,0.00584148655916774,c,2
2D,4.0,23,0.17675163051272816,180.30698681612637,Oreochrysum parryi,0.005657656436317788,c,2
3A,1.0,8,0.1390008644178297,377.51479289940823,Vaccinium sp,0.00719419986478681,m,3
3A,2.0,9,0.12088764728476284,388.27314980336075,Vaccinium sp,0.008272143783594373,m,3
3A,3.0,11,0.11626697899352353,434.3434343434344,Vaccinium sp,0.00860089432663167,m,3
3A,4.0,14,0.10186069085699599,393.0817610062893,Vaccinium sp,0.009817329841242856,m,3
3A,4.0,20,0.12112585597552715,221.40465623296734,Oreochrysum parryi,0.008255875609267478,m,3
3A,1.0,12,0.1105523131684135,263.69958275382476,Oreochrysum parryi,0.009045491417955381,m,3
3A,2.0,11,0.10894542444254254,198.96538002387587,Oreochrysum parryi,0.009178907743182887,m,3
3A,3.0,15,0.14664332840924518,207.78215355616143,Oreochrysum parryi,0.0068192669305026125,m,3
3B,3.0,8,0.1262500524171535,375.49407114624506,Vaccinium sp,0.007920788790612261,c,3
3B,4.0,7,0.11762404885611678,410.48994974874375,Vaccinium sp,0.008501662795362932,c,3
3B,1.0,11,0.1278456297802402,392.8571428571429,Vaccinium sp,0.007821933387312078,c,3
3B,2.0,8,0.12666888702548093,365.2647975077882,Vaccinium sp,0.007894598456516307,c,3
3B,4.0,19,0.11548131544083465,245.5533772945999,Oreochrysum parryi,0.00865940949999255,c,3
3B,3.0,14,0.10601231976136172,252.56204769537132,Oreochrysum parryi,0.009432865937195252,c,3
3B,2.0,17,0.13364732473360488,211.44609686939413,Oreochrysum parryi,0.007482379478925369,c,3
