individual,height_cm,sla,ldmc,species_full,treatment,block,plot,vwc,pH,percent_clay_0to5,percent_clay_5to15,percent_silt_plus_clay_0to5,percent_silt_plus_clay_5to15,percent_silt_0to5,percent_silt_5to15,sand_0_5,percent_sand_5to15,shannon_bacteria_15,shannon_bacteria_5,species_richness_bacteria_15,species_richness_bacteria_5,simpson_bacteria_15,simpson_bacteria_5,shannon_fungi_5,shannon_fungi_15,species_richness_fungi_5,species_richness_fungi_15,simpson_fungi_5,simpson_fungi_15,latitude,longitude,slope,aspect,TPI,TRI,flowdir,twi,elevation,Aspect,amf_5,amf_15,EMF_0_5,EMF_5_15,other_5,other_15,PPF,plant_pathogen_15,unassigned_5,unassigned_15,litter_duff,rock,bare,mulch,biochar,nitrifiers,Proteobacteria,Verrucomicrobiota,Chloroflexi,total_c_0_5,total_c_5_15,total_n_0_5,total_n_5_15,DOC_0_5,DOC_5_15,TDN_0_5,TDN_5_15,ammonium_0_5,ammonium_5_15,nitrate_0_5,nitrate_5_15,potassium_0_5,potassium_5_15,calcium_0_5,calcium_5_15,phosphate_0_5,phosphate_5_15,sulfate_0_5,sulfate_5_15,cations_0_5,cations_5_15,DOCtoTDN_0_5,DOCtoTDN_5_15,CN_0_5,CN_5_15,DON_0_5,total_veg_cover,DIN_0_5,DIN_5_15,DON_5_15
1,16,0.109313964029509,383.368569415081,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
2,12,0.12597699691653833,398.9176652493236,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
3,11,0.11813339380964644,373.7522019964768,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
4,11,0.11116414670549808,374.3659113966858,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
3,9,0.12206860497611732,243.49680170575695,Oreochrysum parryi,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
2,9,0.11477292811000006,207.22591362126244,Oreochrysum parryi,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
1,10,0.137276142051024,178.27651916154986,Oreochrysum parryi,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
4,14,0.1088935471053573,387.9350348027842,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
3,14,0.1281890826056379,389.908256880734,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
2,15,0.1002875659519493,346.571622539036,Vaccinium sp,m,b1,b1a,14,5.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.205241841,0.033873809,21.109032459,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,0,1.577495864,0,1.4547,1.6847,0.0993,0.0743,13.85,14.93,1.073,1.606,0.2,0.18,1.2093,0.2575,2.405,1.965,1.35,2.37,2.884,0.684,1.505,1.3485,215.37621233697345,229.83108714344556,1,1,14.649546827794564,1,0.6445191299999999,42,0.42848087,0.19793924999999998,1.4080607500000002
