individual,height_cm,sla,ldmc,species_full,lma,treatment,block,plot,vwc,sample_id,c,n,pH,doc_mg_g,tdn_mg_g,din_mg_g,don_mg_g,nh4_mg_g,nh4_n_mg_g,no3_mg_g,no3_n_mg_g,na_mg_g,k_mg_g,mg_mg_g,ca_mg_g,cl_mg_g,po4_mg_g,so4_mg_g,percent_clay_0to5,percent_clay_5to15,percent_silt_plus_clay_0to5,percent_silt_plus_clay_5to15,percent_silt_0to5,percent_silt_5to15,sand,percent_sand_5to15,shannon_bacteria_15,shannon_bacteria_5,species_richness_bacteria_15,species_richness_bacteria_5,simpson_bacteria_15,simpson_bacteria_5,shannon_fungi_5,shannon_fungi_15,species_richness_fungi_5,species_richness_fungi_15,simpson_fungi_5,simpson_fungi_15,latitude,longitude,slope,aspect,TPI,TRI,flowdir,twi,elevation,Aspect,amf_5,amf_15,EMF,ectomycorrhizae_15,other_5,other_15,PPF,plant_pathogen_15,unassigned_5,unassigned_15,litter_duff,rock,bare,mulch,biochar,nitrifiers,pcaf,Proteobacteria,Verrucomicrobiota,Chloroflexi,total_c,total_n,DOC,TDN,ammonium,nitrate,potassium,calcium,phosphate,sulfate,cations,DIN,DON
1,16,0.109313964029509,383.368569415081,Vaccinium sp,0.00914796210052407,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
2,12,0.12597699691653833,398.9176652493236,Vaccinium sp,0.0079379571229382,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
3,11,0.11813339380964644,373.7522019964768,Vaccinium sp,0.00846500695316807,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
4,11,0.11116414670549808,374.3659113966858,Vaccinium sp,0.00899570616638881,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
3,9,0.12206860497611732,243.49680170575695,Oreochrysum parryi,0.00819211459159093,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
2,9,0.11477292811000006,207.22591362126244,Oreochrysum parryi,0.00871285604076934,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
1,10,0.137276142051024,178.27651916154986,Oreochrysum parryi,0.00728458700149302,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
4,14,0.1088935471053573,387.9350348027842,Vaccinium sp,0.00918328061287666,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
3,14,0.1281890826056379,389.908256880734,Vaccinium sp,0.00780097633646704,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
2,15,0.1002875659519493,346.571622539036,Vaccinium sp,0.00997132586186336,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
